,VID,Type,Number,Republicans,Democrats,Others
0,0,Yea,21,20,0,1
1,0,Nay,55,0,55,0
2,0,Present,2,1,1,0
3,0,Not Voting,17,6,10,1
4,1,Yea,28,16,11,1
5,1,Nay,63,11,51,1
6,1,Not Voting,4,1,3,0
7,2,Yea,35,22,12,1
8,2,Nay,56,5,50,1
9,2,Not Voting,4,1,3,0
10,3,Yea,38,25,12,1
11,3,Nay,51,2,48,1
12,3,Not Voting,6,1,5,0
13,4,Yea,39,23,14,2
14,4,Nay,52,4,48,0
15,4,Not Voting,4,1,3,0
16,5,Yea,30,22,8,0
17,5,Nay,60,5,53,2
18,5,Not Voting,5,1,4,0
19,6,Yea,65,15,49,1
20,6,Nay,24,12,11,1
21,6,Present,1,1,0,0
22,6,Not Voting,5,0,5,0
23,7,Yea,35,25,9,1
24,7,Nay,56,2,53,1
25,7,Not Voting,4,1,3,0
26,8,Yea,29,16,12,1
27,8,Nay,53,8,44,1
28,8,Present,2,1,1,0
29,8,Not Voting,11,3,8,0
30,9,Yea,36,25,10,1
31,9,Nay,45,0,44,1
32,9,Not Voting,14,3,11,0
33,10,Yea,33,24,8,1
34,10,Nay,48,1,46,1
35,10,Not Voting,14,3,11,0
36,11,Yea,28,21,6,1
37,11,Nay,54,5,48,1
38,11,Not Voting,13,2,11,0
39,12,Yea,36,26,8,2
40,12,Nay,47,0,47,0
41,12,Not Voting,12,2,10,0
42,13,Yea,33,19,13,1
43,13,Nay,56,7,48,1
44,13,Not Voting,6,2,4,0
45,14,Yea,33,22,10,1
46,14,Nay,55,5,49,1
47,14,Not Voting,7,1,6,0
48,15,Yea,35,20,14,1
49,15,Nay,54,7,46,1
50,15,Not Voting,6,1,5,0
51,16,Yea,32,18,13,1
52,16,Nay,59,9,49,1
53,16,Not Voting,4,1,3,0
54,17,Yea,29,19,9,1
55,17,Nay,62,8,53,1
56,17,Not Voting,4,1,3,0
57,18,Yea,60,10,49,1
58,18,Nay,31,17,13,1
59,18,Not Voting,4,1,3,0
60,19,Yea,32,0,32,0
61,19,Nay,32,21,9,2
62,19,Present,13,6,7,0
63,19,Not Voting,18,1,17,0
64,20,Yea,67,17,49,1
65,20,Nay,9,5,3,1
66,20,Present,1,1,0,0
67,20,Not Voting,18,5,13,0
68,21,Yea,29,0,29,0
69,21,Nay,34,19,13,2
70,21,Present,3,2,1,0
71,21,Not Voting,29,7,22,0
72,22,Yea,37,0,37,0
73,22,Nay,28,19,7,2
74,22,Present,4,2,2,0
75,22,Not Voting,26,7,19,0
76,23,Yea,20,14,4,2
77,23,Nay,49,7,42,0
78,23,Present,12,6,6,0
79,23,Not Voting,14,1,13,0
80,24,Yea,61,16,43,2
81,24,Nay,9,5,4,0
82,24,Present,3,2,1,0
83,24,Not Voting,22,5,17,0
84,25,Yea,56,14,40,2
85,25,Present,2,2,0,0
86,25,Not Voting,37,12,25,0
87,26,Yea,22,3,19,0
88,26,Nay,31,10,19,2
89,26,Present,5,2,3,0
90,26,Not Voting,37,13,24,0
91,27,Yea,35,4,31,0
92,27,Nay,44,19,23,2
93,27,Present,1,0,1,0
94,27,Not Voting,14,5,9,0
95,28,Yea,38,18,20,0
96,28,Nay,40,1,37,2
97,28,Present,1,0,1,0
98,28,Not Voting,15,9,6,0
99,29,Yea,75,18,55,2
100,29,Nay,2,1,1,0
101,29,Present,2,2,0,0
102,29,Not Voting,16,7,9,0
103,30,Yea,38,22,15,1
104,30,Nay,43,3,39,1
105,30,Not Voting,14,3,11,0
106,31,Yea,59,10,48,1
107,31,Nay,20,15,4,1
108,31,Not Voting,16,3,13,0
109,32,Yea,21,6,15,0
110,32,Nay,35,9,24,2
111,32,Present,24,12,12,0
112,32,Not Voting,15,1,14,0
113,33,Yea,20,17,2,1
114,33,Nay,38,0,38,0
115,33,Present,14,5,9,0
116,33,Not Voting,23,6,16,1
117,34,Yea,21,16,4,1
118,34,Nay,37,0,37,0
119,34,Present,14,5,9,0
120,34,Not Voting,23,7,15,1
121,35,Yea,22,15,6,1
122,35,Nay,37,0,37,0
123,35,Present,10,5,5,0
124,35,Not Voting,26,8,17,1
125,36,Yea,22,15,6,1
